Corinthians|0|0|Cruzeiro|2.40|3.05|2.67
Fluminense|1|2|Palmeiras|2.90|3.05|2.49
Ceará|0|2|Mirassol|2.00|3.20|4.20
Flamengo|1|0|Fluminense|1.60|3.41|4.90
Palmeiras|3|2|Atlético Mineiro|1.69|3.59|5.85
Sport Recife|0|1|Botafogo|3.75|3.20|2.05
Cruzeiro|4|0|Juventude|1.33|5.00|11.00
Vitória|1|0|Bragantino|2.54|2.77|2.70
Internacional|1|0|Ceará|1.55|3.47|5.30
São Paulo|2|0|Corinthians|2.31|2.96|2.87
Mirassol|3|0|Santos|2.74|3.13|2.60
Vasco da Gama|1|1|Grêmio|2.10|3.15|3.80
Fortaleza|1|1|Bahia|2.65|3.00|2.80
Fluminense|0|2|Cruzeiro|2.31|3.10|3.05
Botafogo|0|0|Vitória|1.39|4.46|6.90
Bragantino|2|2|São Paulo|2.33|3.00|3.40
Santos|1|0|Flamengo|3.90|3.00|1.80
Ceará|0|1|Corinthians|2.40|2.80|3.25
Palmeiras|1|1|Mirassol|1.41|4.10|9.15
Juventude|2|0|Sport Recife|2.70|3.10|2.70
Cruzeiro|4|1|Grêmio|1.69|3.12|4.80
Fortaleza|0|1|Ceará|1.97|3.01|3.57
Corinthians|1|2|Bragantino|2.02|2.96|3.50
Bahia|2|1|Atlético Mineiro|2.16|2.75|3.41
Vasco da Gama|0|2|Botafogo|2.92|2.96|2.28
Flamengo|2|0|São Paulo|1.45|4.05|6.90
Internacional|1|0|Vitória|1.66|3.60|6.00
São Paulo|1|3|Vasco da Gama|1.80|3.33|5.10
Atlético Mineiro|2|0|Internacional|1.81|3.05|3.95
Grêmio|1|1|Corinthians|2.20|3.03|3.25
Fortaleza|2|3|Santos|2.29|3.05|3.24
Bragantino|0|3|Bahia|2.28|3.00|3.44
Vitória|0|0|Cruzeiro|3.52|3.00|2.33
Botafogo|3|2|Ceará|1.63|3.60|5.50
Internacional|0|2|Fluminense|2.01|3.15|3.80
Cruzeiro|2|1|Palmeiras|3.25|3.01|2.45
Flamengo|5|0|Fortaleza|1.33|5.00|8.75
Corinthians|0|0|Vitória|1.63|3.40|5.50
Ceará|0|1|Atlético Mineiro|2.75|2.90|2.85
Santos|0|1|Botafogo|2.45|2.84|2.78
Juventude|0|2|Grêmio|2.75|3.10|2.31
Mirassol|1|0|Sport Recife|1.90|3.02|3.82
Vasco da Gama|0|2|Bragantino|2.30|2.80|3.00
Bahia|2|1|São Paulo|1.86|3.22|4.95
Bragantino|1|0|Juventude|1.36|4.30|8.10
Fortaleza|0|2|Cruzeiro|2.37|3.07|3.00
Vitória|0|1|Santos|2.15|3.10|3.60
Palmeiras|0|2|Flamengo|2.25|2.93|2.99
Sport Recife|1|1|Internacional|2.67|3.03|2.41
Grêmio|1|0|Bahia|2.27|2.93|2.96
Atlético Mineiro|0|0|Corinthians|1.87|3.20|4.20
Fluminense|2|1|Vasco da Gama|1.80|3.40|4.45
São Paulo|0|2|Mirassol|1.68|3.50|5.10
Cruzeiro|0|0|Atlético Mineiro|2.49|3.05|3.00
Internacional|1|1|Mirassol|1.60|3.90|5.60
Flamengo|0|0|Botafogo|1.73|3.40|5.10
Bragantino|1|2|Palmeiras|3.15|3.10|2.28
Corinthians|1|0|Santos|2.00|3.01|3.47
Bahia|2|1|Vitória|1.70|3.29|4.40
Juventude|1|1|Fluminense|2.87|3.08|2.24
São Paulo|2|1|Grêmio|1.65|3.65|6.16
Vasco da Gama|3|0|Fortaleza|2.55|2.90|3.24
Ceará|2|0|Sport Recife|1.84|3.08|3.96
Santos|0|0|Ceará|2.29|3.00|3.50
Botafogo|4|0|Internacional|2.17|3.15|3.30
Palmeiras|1|0|São Paulo|1.61|3.27|5.20
Atlético Mineiro|3|2|Fluminense|1.86|3.18|3.72
Sport Recife|0|4|Cruzeiro|2.23|2.93|3.02
Flamengo|1|0|Bahia|1.35|4.50|7.40
Mirassol|2|1|Corinthians|2.87|3.10|2.43
Grêmio|1|1|Bragantino|2.60|3.20|2.93
Vitória|2|1|Vasco da Gama|2.14|3.15|3.60
Fortaleza|5|0|Juventude|1.63|3.65|4.85
Juventude|0|1|Atlético Mineiro|3.05|3.15|2.40
Bragantino|1|0|Mirassol|1.88|3.30|4.64
Cruzeiro|2|1|Flamengo|4.50|3.34|1.92
Vasco da Gama|0|1|Palmeiras|5.00|3.27|1.77
Grêmio|1|0|Santos|2.40|3.13|3.00
Bahia|1|0|Botafogo|2.14|3.25|3.40
Fluminense|2|1|Sport Recife|1.77|3.35|5.00
Corinthians|4|2|Internacional|2.55|2.94|2.97
Ceará|1|0|Vitória|2.29|2.88|3.50
São Paulo|0|0|Fortaleza|1.83|3.29|5.24
Santos|1|2|Bragantino|2.15|3.25|3.35
Palmeiras|0|1|Bahia|1.56|4.10|6.31
Cruzeiro|1|0|Vasco da Gama|2.10|3.13|3.60
Vitória|1|1|Grêmio|2.29|3.20|3.10
Flamengo|4|0|Corinthians|1.45|4.20|7.00
Botafogo|2|0|Fluminense|2.16|3.04|3.99
Sport Recife|0|0|Fortaleza|2.27|3.15|3.25
Mirassol|2|2|Atlético Mineiro|2.99|3.13|2.48
Ceará|1|1|São Paulo|2.25|2.70|3.50
Internacional|3|1|Juventude|1.37|5.01|8.30
Bahia|1|0|Ceará|1.68|3.55|4.75
